######## fewstep: mdlm x qed | k=[1 2 4 8] N=[300 30 10 100 1000]
######## lambda=[20] seeds=[1 2 3 4 5] on GPU 1 at 2026. 08. 26. (수) 00:15:43 KST
=============== N=300 ===============
  mdlm_fs_k1_N300_lam20_marginal_s1                 254s  ESS=294
  mdlm_fs_k1_N300_lam20_edlm_s1                     246s  ESS=288
  mdlm_fs_k1_N300_lam20_marginal_s2                 244s  ESS=299
  mdlm_fs_k1_N300_lam20_edlm_s2                     245s  ESS=294
  mdlm_fs_k1_N300_lam20_marginal_s3                 247s  ESS=297
  mdlm_fs_k1_N300_lam20_edlm_s3                     250s  ESS=299
  mdlm_fs_k1_N300_lam20_marginal_s4                 243s  ESS=300
  mdlm_fs_k1_N300_lam20_edlm_s4                     251s  ESS=300
  mdlm_fs_k1_N300_lam20_marginal_s5                 249s  ESS=294
  mdlm_fs_k1_N300_lam20_edlm_s5                     254s  ESS=296
  mdlm_fs_k2_N300_lam20_marginal_s1                 137s  ESS=291
  mdlm_fs_k2_N300_lam20_edlm_s1                     132s  ESS=292
  mdlm_fs_k2_N300_lam20_marginal_s2                 131s  ESS=297
  mdlm_fs_k2_N300_lam20_edlm_s2                     131s  ESS=284
  mdlm_fs_k2_N300_lam20_marginal_s3                 133s  ESS=296
  mdlm_fs_k2_N300_lam20_edlm_s3                     130s  ESS=295
  mdlm_fs_k2_N300_lam20_marginal_s4                 125s  ESS=294
  mdlm_fs_k2_N300_lam20_edlm_s4                     130s  ESS=290
  mdlm_fs_k2_N300_lam20_marginal_s5                 132s  ESS=297
  mdlm_fs_k2_N300_lam20_edlm_s5                     131s  ESS=297
  mdlm_fs_k4_N300_lam20_marginal_s1                  75s  ESS=268
  mdlm_fs_k4_N300_lam20_edlm_s1                      76s  ESS=269
  mdlm_fs_k4_N300_lam20_marginal_s2                  75s  ESS=286
  mdlm_fs_k4_N300_lam20_edlm_s2                      76s  ESS=270
  mdlm_fs_k4_N300_lam20_marginal_s3                  77s  ESS=289
  mdlm_fs_k4_N300_lam20_edlm_s3                      75s  ESS=289
  mdlm_fs_k4_N300_lam20_marginal_s4                  73s  ESS=268
  mdlm_fs_k4_N300_lam20_edlm_s4                      72s  ESS=290
  mdlm_fs_k4_N300_lam20_marginal_s5                  74s  ESS=259
  mdlm_fs_k4_N300_lam20_edlm_s5                      76s  ESS=274
  mdlm_fs_k8_N300_lam20_marginal_s1                  46s  ESS=282
  mdlm_fs_k8_N300_lam20_edlm_s1                      45s  ESS=263
  mdlm_fs_k8_N300_lam20_marginal_s2                  46s  ESS=276
  mdlm_fs_k8_N300_lam20_edlm_s2                      47s  ESS=264
  mdlm_fs_k8_N300_lam20_marginal_s3                  48s  ESS=268
  mdlm_fs_k8_N300_lam20_edlm_s3                      46s  ESS=270
  mdlm_fs_k8_N300_lam20_marginal_s4                  45s  ESS=275
  mdlm_fs_k8_N300_lam20_edlm_s4                      47s  ESS=263
  mdlm_fs_k8_N300_lam20_marginal_s5                  46s  ESS=276
  mdlm_fs_k8_N300_lam20_edlm_s5                      46s  ESS=273
=============== N=30 ===============
  mdlm_fs_k1_N30_lam20_marginal_s1                   86s  ESS=29.7
  mdlm_fs_k1_N30_lam20_edlm_s1                       83s  ESS=29.8
  mdlm_fs_k1_N30_lam20_marginal_s2                   80s  ESS=29.5
  mdlm_fs_k1_N30_lam20_edlm_s2                       85s  ESS=30
  mdlm_fs_k1_N30_lam20_marginal_s3                   82s  ESS=29.8
  mdlm_fs_k1_N30_lam20_edlm_s3                       84s  ESS=29.8
  mdlm_fs_k1_N30_lam20_marginal_s4                   85s  ESS=30
  mdlm_fs_k1_N30_lam20_edlm_s4                       84s  ESS=30
  mdlm_fs_k1_N30_lam20_marginal_s5                   82s  ESS=29.5
  mdlm_fs_k1_N30_lam20_edlm_s5                       84s  ESS=29.1
  mdlm_fs_k2_N30_lam20_marginal_s1                   50s  ESS=28.7
  mdlm_fs_k2_N30_lam20_edlm_s1                       53s  ESS=29.6
  mdlm_fs_k2_N30_lam20_marginal_s2                   50s  ESS=29.8
  mdlm_fs_k2_N30_lam20_edlm_s2                       52s  ESS=29.4
  mdlm_fs_k2_N30_lam20_marginal_s3                   51s  ESS=29
  mdlm_fs_k2_N30_lam20_edlm_s3                       53s  ESS=28.3
  mdlm_fs_k2_N30_lam20_marginal_s4                   52s  ESS=29.8
  mdlm_fs_k2_N30_lam20_edlm_s4                       52s  ESS=29.3
  mdlm_fs_k2_N30_lam20_marginal_s5                   51s  ESS=29.9
  mdlm_fs_k2_N30_lam20_edlm_s5                       52s  ESS=29.4
  mdlm_fs_k4_N30_lam20_marginal_s1                   36s  ESS=29.3
  mdlm_fs_k4_N30_lam20_edlm_s1                       35s  ESS=27.8
  mdlm_fs_k4_N30_lam20_marginal_s2                   36s  ESS=28.3
  mdlm_fs_k4_N30_lam20_edlm_s2                       35s  ESS=28.2
  mdlm_fs_k4_N30_lam20_marginal_s3                   35s  ESS=27.8
  mdlm_fs_k4_N30_lam20_edlm_s3                       35s  ESS=28.4
  mdlm_fs_k4_N30_lam20_marginal_s4                   36s  ESS=29.4
  mdlm_fs_k4_N30_lam20_edlm_s4                       36s  ESS=29.3
  mdlm_fs_k4_N30_lam20_marginal_s5                   36s  ESS=29.2
  mdlm_fs_k4_N30_lam20_edlm_s5                       36s  ESS=29.5
  mdlm_fs_k8_N30_lam20_marginal_s1                   27s  ESS=29
  mdlm_fs_k8_N30_lam20_edlm_s1                       27s  ESS=28.8
  mdlm_fs_k8_N30_lam20_marginal_s2                   26s  ESS=28.4
  mdlm_fs_k8_N30_lam20_edlm_s2                       27s  ESS=29.6
  mdlm_fs_k8_N30_lam20_marginal_s3                   27s  ESS=27.5
  mdlm_fs_k8_N30_lam20_edlm_s3                       28s  ESS=28.5
  mdlm_fs_k8_N30_lam20_marginal_s4                   28s  ESS=28.2
  mdlm_fs_k8_N30_lam20_edlm_s4                       28s  ESS=26.9
  mdlm_fs_k8_N30_lam20_marginal_s5                   27s  ESS=27.4
  mdlm_fs_k8_N30_lam20_edlm_s5                       28s  ESS=27.9
=============== N=10 ===============
  mdlm_fs_k1_N10_lam20_marginal_s1                   76s  ESS=9.89
  mdlm_fs_k1_N10_lam20_edlm_s1                       76s  ESS=9.85
  mdlm_fs_k1_N10_lam20_marginal_s2                   76s  ESS=9.96
  mdlm_fs_k1_N10_lam20_edlm_s2                       75s  ESS=9.99
  mdlm_fs_k1_N10_lam20_marginal_s3                   76s  ESS=9.94
  mdlm_fs_k1_N10_lam20_edlm_s3                       74s  ESS=9.77
  mdlm_fs_k1_N10_lam20_marginal_s4                   75s  ESS=9.79
  mdlm_fs_k1_N10_lam20_edlm_s4                       74s  ESS=9.99
  mdlm_fs_k1_N10_lam20_marginal_s5                   75s  ESS=9.82
  mdlm_fs_k1_N10_lam20_edlm_s5                       75s  ESS=9.92
  mdlm_fs_k2_N10_lam20_marginal_s1                   47s  ESS=9.99
  mdlm_fs_k2_N10_lam20_edlm_s1                       47s  ESS=9.78
  mdlm_fs_k2_N10_lam20_marginal_s2                   47s  ESS=9.94
  mdlm_fs_k2_N10_lam20_edlm_s2                       48s  ESS=9.69
  mdlm_fs_k2_N10_lam20_marginal_s3                   47s  ESS=9.53
  mdlm_fs_k2_N10_lam20_edlm_s3                       47s  ESS=9.89
  mdlm_fs_k2_N10_lam20_marginal_s4                   47s  ESS=9.86
  mdlm_fs_k2_N10_lam20_edlm_s4                       48s  ESS=9.7
  mdlm_fs_k2_N10_lam20_marginal_s5                   47s  ESS=9.69
  mdlm_fs_k2_N10_lam20_edlm_s5                       48s  ESS=10
  mdlm_fs_k4_N10_lam20_marginal_s1                   33s  ESS=9.87
  mdlm_fs_k4_N10_lam20_edlm_s1                       33s  ESS=9.52
  mdlm_fs_k4_N10_lam20_marginal_s2                   32s  ESS=9.65
  mdlm_fs_k4_N10_lam20_edlm_s2                       32s  ESS=9.72
  mdlm_fs_k4_N10_lam20_marginal_s3                   32s  ESS=9.79
  mdlm_fs_k4_N10_lam20_edlm_s3                       32s  ESS=9.67
  mdlm_fs_k4_N10_lam20_marginal_s4                   32s  ESS=9.51
  mdlm_fs_k4_N10_lam20_edlm_s4                       33s  ESS=9.71
  mdlm_fs_k4_N10_lam20_marginal_s5                   32s  ESS=9.8
