######## fewstep: mdlm x qed | k=[1 2 4 8] N=[300 30 10 100 1000]
######## lambda=[0] seeds=[1 2 3 4 5] on GPU 0 at 2026. 08. 26. (수) 00:15:43 KST
=============== N=300 ===============
  mdlm_fs_k1_N300_lam0_marginal_s1                  251s  ESS=300
  mdlm_fs_k1_N300_lam0_edlm_s1                      246s  ESS=300
  mdlm_fs_k1_N300_lam0_marginal_s2                  245s  ESS=300
  mdlm_fs_k1_N300_lam0_edlm_s2                      243s  ESS=300
  mdlm_fs_k1_N300_lam0_marginal_s3                  248s  ESS=300
  mdlm_fs_k1_N300_lam0_edlm_s3                      244s  ESS=300
  mdlm_fs_k1_N300_lam0_marginal_s4                  243s  ESS=300
  mdlm_fs_k1_N300_lam0_edlm_s4                      245s  ESS=300
  mdlm_fs_k1_N300_lam0_marginal_s5                  241s  ESS=300
  mdlm_fs_k1_N300_lam0_edlm_s5                      237s  ESS=300
  mdlm_fs_k2_N300_lam0_marginal_s1                  127s  ESS=300
  mdlm_fs_k2_N300_lam0_edlm_s1                      128s  ESS=300
  mdlm_fs_k2_N300_lam0_marginal_s2                  128s  ESS=300
  mdlm_fs_k2_N300_lam0_edlm_s2                      131s  ESS=300
  mdlm_fs_k2_N300_lam0_marginal_s3                  125s  ESS=300
  mdlm_fs_k2_N300_lam0_edlm_s3                      130s  ESS=300
  mdlm_fs_k2_N300_lam0_marginal_s4                  130s  ESS=300
  mdlm_fs_k2_N300_lam0_edlm_s4                      130s  ESS=300
  mdlm_fs_k2_N300_lam0_marginal_s5                  130s  ESS=300
  mdlm_fs_k2_N300_lam0_edlm_s5                      128s  ESS=300
  mdlm_fs_k4_N300_lam0_marginal_s1                   77s  ESS=300
  mdlm_fs_k4_N300_lam0_edlm_s1                       73s  ESS=300
  mdlm_fs_k4_N300_lam0_marginal_s2                   73s  ESS=300
  mdlm_fs_k4_N300_lam0_edlm_s2                       73s  ESS=300
  mdlm_fs_k4_N300_lam0_marginal_s3                   73s  ESS=300
  mdlm_fs_k4_N300_lam0_edlm_s3                       72s  ESS=300
  mdlm_fs_k4_N300_lam0_marginal_s4                   73s  ESS=300
  mdlm_fs_k4_N300_lam0_edlm_s4                       73s  ESS=300
  mdlm_fs_k4_N300_lam0_marginal_s5                   74s  ESS=300
  mdlm_fs_k4_N300_lam0_edlm_s5                       74s  ESS=300
  mdlm_fs_k8_N300_lam0_marginal_s1                   45s  ESS=300
  mdlm_fs_k8_N300_lam0_edlm_s1                       47s  ESS=300
  mdlm_fs_k8_N300_lam0_marginal_s2                   46s  ESS=300
  mdlm_fs_k8_N300_lam0_edlm_s2                       47s  ESS=300
  mdlm_fs_k8_N300_lam0_marginal_s3                   45s  ESS=300
  mdlm_fs_k8_N300_lam0_edlm_s3                       47s  ESS=300
  mdlm_fs_k8_N300_lam0_marginal_s4                   45s  ESS=300
  mdlm_fs_k8_N300_lam0_edlm_s4                       45s  ESS=300
  mdlm_fs_k8_N300_lam0_marginal_s5                   47s  ESS=300
  mdlm_fs_k8_N300_lam0_edlm_s5                       45s  ESS=300
=============== N=30 ===============
  mdlm_fs_k1_N30_lam0_marginal_s1                    83s  ESS=30
  mdlm_fs_k1_N30_lam0_edlm_s1                        84s  ESS=30
  mdlm_fs_k1_N30_lam0_marginal_s2                    82s  ESS=30
  mdlm_fs_k1_N30_lam0_edlm_s2                        85s  ESS=30
  mdlm_fs_k1_N30_lam0_marginal_s3                    82s  ESS=30
  mdlm_fs_k1_N30_lam0_edlm_s3                        82s  ESS=30
  mdlm_fs_k1_N30_lam0_marginal_s4                    81s  ESS=30
  mdlm_fs_k1_N30_lam0_edlm_s4                        82s  ESS=30
  mdlm_fs_k1_N30_lam0_marginal_s5                    83s  ESS=30
  mdlm_fs_k1_N30_lam0_edlm_s5                        83s  ESS=30
  mdlm_fs_k2_N30_lam0_marginal_s1                    52s  ESS=30
  mdlm_fs_k2_N30_lam0_edlm_s1                        51s  ESS=30
  mdlm_fs_k2_N30_lam0_marginal_s2                    51s  ESS=30
  mdlm_fs_k2_N30_lam0_edlm_s2                        51s  ESS=30
  mdlm_fs_k2_N30_lam0_marginal_s3                    51s  ESS=30
  mdlm_fs_k2_N30_lam0_edlm_s3                        50s  ESS=30
  mdlm_fs_k2_N30_lam0_marginal_s4                    50s  ESS=30
  mdlm_fs_k2_N30_lam0_edlm_s4                        50s  ESS=30
  mdlm_fs_k2_N30_lam0_marginal_s5                    50s  ESS=30
  mdlm_fs_k2_N30_lam0_edlm_s5                        50s  ESS=30
  mdlm_fs_k4_N30_lam0_marginal_s1                    35s  ESS=30
  mdlm_fs_k4_N30_lam0_edlm_s1                        35s  ESS=30
  mdlm_fs_k4_N30_lam0_marginal_s2                    35s  ESS=30
  mdlm_fs_k4_N30_lam0_edlm_s2                        35s  ESS=30
  mdlm_fs_k4_N30_lam0_marginal_s3                    35s  ESS=30
  mdlm_fs_k4_N30_lam0_edlm_s3                        34s  ESS=30
  mdlm_fs_k4_N30_lam0_marginal_s4                    35s  ESS=30
  mdlm_fs_k4_N30_lam0_edlm_s4                        35s  ESS=30
  mdlm_fs_k4_N30_lam0_marginal_s5                    35s  ESS=30
  mdlm_fs_k4_N30_lam0_edlm_s5                        35s  ESS=30
  mdlm_fs_k8_N30_lam0_marginal_s1                    27s  ESS=30
  mdlm_fs_k8_N30_lam0_edlm_s1                        28s  ESS=30
  mdlm_fs_k8_N30_lam0_marginal_s2                    29s  ESS=30
  mdlm_fs_k8_N30_lam0_edlm_s2                        26s  ESS=30
  mdlm_fs_k8_N30_lam0_marginal_s3                    27s  ESS=30
  mdlm_fs_k8_N30_lam0_edlm_s3                        28s  ESS=30
  mdlm_fs_k8_N30_lam0_marginal_s4                    27s  ESS=30
  mdlm_fs_k8_N30_lam0_edlm_s4                        28s  ESS=30
  mdlm_fs_k8_N30_lam0_marginal_s5                    27s  ESS=30
  mdlm_fs_k8_N30_lam0_edlm_s5                        29s  ESS=30
=============== N=10 ===============
  mdlm_fs_k1_N10_lam0_marginal_s1                    72s  ESS=10
  mdlm_fs_k1_N10_lam0_edlm_s1                        74s  ESS=10
  mdlm_fs_k1_N10_lam0_marginal_s2                    75s  ESS=10
  mdlm_fs_k1_N10_lam0_edlm_s2                        75s  ESS=10
  mdlm_fs_k1_N10_lam0_marginal_s3                    75s  ESS=10
  mdlm_fs_k1_N10_lam0_edlm_s3                        76s  ESS=10
  mdlm_fs_k1_N10_lam0_marginal_s4                    75s  ESS=10
  mdlm_fs_k1_N10_lam0_edlm_s4                        74s  ESS=10
  mdlm_fs_k1_N10_lam0_marginal_s5                    74s  ESS=10
  mdlm_fs_k1_N10_lam0_edlm_s5                        72s  ESS=10
  mdlm_fs_k2_N10_lam0_marginal_s1                    47s  ESS=10
  mdlm_fs_k2_N10_lam0_edlm_s1                        47s  ESS=10
  mdlm_fs_k2_N10_lam0_marginal_s2                    47s  ESS=10
  mdlm_fs_k2_N10_lam0_edlm_s2                        46s  ESS=10
  mdlm_fs_k2_N10_lam0_marginal_s3                    47s  ESS=10
  mdlm_fs_k2_N10_lam0_edlm_s3                        46s  ESS=10
  mdlm_fs_k2_N10_lam0_marginal_s4                    46s  ESS=10
  mdlm_fs_k2_N10_lam0_edlm_s4                        46s  ESS=10
  mdlm_fs_k2_N10_lam0_marginal_s5                    46s  ESS=10
  mdlm_fs_k2_N10_lam0_edlm_s5                        46s  ESS=10
