######## fewstep: mdlm x qed | k=[16 32] N=[300 100 30 10 1000]
######## lambda=[0] seeds=[1 2 3 4 5] on GPU 0 at 2026. 08. 26. (수) 10:11:52 KST
=============== N=300 ===============
  mdlm_fs_k16_N300_lam0_marginal_s1                  33s  ESS=300
  mdlm_fs_k16_N300_lam0_edlm_s1                      33s  ESS=300
  mdlm_fs_k16_N300_lam0_marginal_s2                  33s  ESS=300
  mdlm_fs_k16_N300_lam0_edlm_s2                      33s  ESS=300
  mdlm_fs_k16_N300_lam0_marginal_s3                  32s  ESS=300
  mdlm_fs_k16_N300_lam0_edlm_s3                      31s  ESS=300
  mdlm_fs_k16_N300_lam0_marginal_s4                  32s  ESS=300
  mdlm_fs_k16_N300_lam0_edlm_s4                      31s  ESS=300
  mdlm_fs_k16_N300_lam0_marginal_s5                  32s  ESS=300
  mdlm_fs_k16_N300_lam0_edlm_s5                      33s  ESS=300
  mdlm_fs_k32_N300_lam0_marginal_s1                  25s  ESS=300
  mdlm_fs_k32_N300_lam0_edlm_s1                      24s  ESS=300
  mdlm_fs_k32_N300_lam0_marginal_s2                  25s  ESS=300
  mdlm_fs_k32_N300_lam0_edlm_s2                      25s  ESS=300
  mdlm_fs_k32_N300_lam0_marginal_s3                  25s  ESS=300
  mdlm_fs_k32_N300_lam0_edlm_s3                      23s  ESS=300
  mdlm_fs_k32_N300_lam0_marginal_s4                  25s  ESS=300
  mdlm_fs_k32_N300_lam0_edlm_s4                      25s  ESS=300
  mdlm_fs_k32_N300_lam0_marginal_s5                  23s  ESS=300
  mdlm_fs_k32_N300_lam0_edlm_s5                      25s  ESS=300
=============== N=100 ===============
  mdlm_fs_k16_N100_lam0_marginal_s1                  25s  ESS=100
  mdlm_fs_k16_N100_lam0_edlm_s1                      26s  ESS=100
  mdlm_fs_k16_N100_lam0_marginal_s2                  26s  ESS=100
  mdlm_fs_k16_N100_lam0_edlm_s2                      25s  ESS=100
  mdlm_fs_k16_N100_lam0_marginal_s3                  26s  ESS=100
  mdlm_fs_k16_N100_lam0_edlm_s3                      25s  ESS=100
  mdlm_fs_k16_N100_lam0_marginal_s4                  25s  ESS=100
  mdlm_fs_k16_N100_lam0_edlm_s4                      25s  ESS=100
  mdlm_fs_k16_N100_lam0_marginal_s5                  26s  ESS=100
  mdlm_fs_k16_N100_lam0_edlm_s5                      26s  ESS=100
  mdlm_fs_k32_N100_lam0_marginal_s1                  22s  ESS=100
  mdlm_fs_k32_N100_lam0_edlm_s1                      22s  ESS=100
  mdlm_fs_k32_N100_lam0_marginal_s2                  21s  ESS=100
  mdlm_fs_k32_N100_lam0_edlm_s2                      21s  ESS=100
  mdlm_fs_k32_N100_lam0_marginal_s3                  20s  ESS=100
  mdlm_fs_k32_N100_lam0_edlm_s3                      22s  ESS=100
  mdlm_fs_k32_N100_lam0_marginal_s4                  21s  ESS=100
  mdlm_fs_k32_N100_lam0_edlm_s4                      22s  ESS=100
  mdlm_fs_k32_N100_lam0_marginal_s5                  22s  ESS=100
  mdlm_fs_k32_N100_lam0_edlm_s5                      21s  ESS=100
=============== N=30 ===============
  mdlm_fs_k16_N30_lam0_marginal_s1                   23s  ESS=30
  mdlm_fs_k16_N30_lam0_edlm_s1                       22s  ESS=30
  mdlm_fs_k16_N30_lam0_marginal_s2                   23s  ESS=30
  mdlm_fs_k16_N30_lam0_edlm_s2                       23s  ESS=30
  mdlm_fs_k16_N30_lam0_marginal_s3                   19s  ESS=30
  mdlm_fs_k16_N30_lam0_edlm_s3                       22s  ESS=30
  mdlm_fs_k16_N30_lam0_marginal_s4                   23s  ESS=30
  mdlm_fs_k16_N30_lam0_edlm_s4                       22s  ESS=30
  mdlm_fs_k16_N30_lam0_marginal_s5                   22s  ESS=30
  mdlm_fs_k16_N30_lam0_edlm_s5                       22s  ESS=30
  mdlm_fs_k32_N30_lam0_marginal_s1                   20s  ESS=30
  mdlm_fs_k32_N30_lam0_edlm_s1                       20s  ESS=30
  mdlm_fs_k32_N30_lam0_marginal_s2                   21s  ESS=30
  mdlm_fs_k32_N30_lam0_edlm_s2                       20s  ESS=30
  mdlm_fs_k32_N30_lam0_marginal_s3                   21s  ESS=30
  mdlm_fs_k32_N30_lam0_edlm_s3                       20s  ESS=30
  mdlm_fs_k32_N30_lam0_marginal_s4                   21s  ESS=30
  mdlm_fs_k32_N30_lam0_edlm_s4                       20s  ESS=30
  mdlm_fs_k32_N30_lam0_marginal_s5                   16s  ESS=30
  mdlm_fs_k32_N30_lam0_edlm_s5                       17s  ESS=30
=============== N=10 ===============
  mdlm_fs_k16_N10_lam0_marginal_s1                   21s  ESS=10
  mdlm_fs_k16_N10_lam0_edlm_s1                       22s  ESS=10
  mdlm_fs_k16_N10_lam0_marginal_s2                   21s  ESS=10
  mdlm_fs_k16_N10_lam0_edlm_s2                       22s  ESS=10
  mdlm_fs_k16_N10_lam0_marginal_s3                   21s  ESS=10
  mdlm_fs_k16_N10_lam0_edlm_s3                       22s  ESS=10
  mdlm_fs_k16_N10_lam0_marginal_s4                   23s  ESS=10
  mdlm_fs_k16_N10_lam0_edlm_s4                       21s  ESS=10
  mdlm_fs_k16_N10_lam0_marginal_s5                   22s  ESS=10
  mdlm_fs_k16_N10_lam0_edlm_s5                       23s  ESS=10
  mdlm_fs_k32_N10_lam0_marginal_s1                   20s  ESS=10
  mdlm_fs_k32_N10_lam0_edlm_s1                       20s  ESS=10
  mdlm_fs_k32_N10_lam0_marginal_s2                   20s  ESS=10
  mdlm_fs_k32_N10_lam0_edlm_s2                       16s  ESS=10
  mdlm_fs_k32_N10_lam0_marginal_s3                   20s  ESS=10
  mdlm_fs_k32_N10_lam0_edlm_s3                       20s  ESS=10
  mdlm_fs_k32_N10_lam0_marginal_s4                   20s  ESS=10
  mdlm_fs_k32_N10_lam0_edlm_s4                       20s  ESS=10
  mdlm_fs_k32_N10_lam0_marginal_s5                   21s  ESS=10
  mdlm_fs_k32_N10_lam0_edlm_s5                       20s  ESS=10
=============== N=1000 ===============
  mdlm_fs_k16_N1000_lam0_marginal_s1                 55s  ESS=1
  mdlm_fs_k16_N1000_lam0_edlm_s1                     55s  ESS=1
  mdlm_fs_k16_N1000_lam0_marginal_s2                 55s  ESS=1
  mdlm_fs_k16_N1000_lam0_edlm_s2                     54s  ESS=1
  mdlm_fs_k16_N1000_lam0_marginal_s3                 54s  ESS=1
  mdlm_fs_k16_N1000_lam0_edlm_s3                     55s  ESS=1
  mdlm_fs_k16_N1000_lam0_marginal_s4                 56s  ESS=1
  mdlm_fs_k16_N1000_lam0_edlm_s4                     54s  ESS=1
  mdlm_fs_k16_N1000_lam0_marginal_s5                 55s  ESS=1
  mdlm_fs_k16_N1000_lam0_edlm_s5                     56s  ESS=1
  mdlm_fs_k32_N1000_lam0_marginal_s1                 35s  ESS=1
  mdlm_fs_k32_N1000_lam0_edlm_s1                     37s  ESS=1
