######## fewstep: mdlm x qed | k=[1 2 4 8] N=[300 30 10 100 1000]
######## lambda=[1000] seeds=[1 2 3 4 5] on GPU 3 at 2026. 08. 26. (수) 00:15:43 KST
=============== N=300 ===============
  mdlm_fs_k1_N300_lam1000_marginal_s1               247s  ESS=285
  mdlm_fs_k1_N300_lam1000_edlm_s1                   246s  ESS=283
  mdlm_fs_k1_N300_lam1000_marginal_s2               249s  ESS=288
  mdlm_fs_k1_N300_lam1000_edlm_s2                   249s  ESS=288
  mdlm_fs_k1_N300_lam1000_marginal_s3               254s  ESS=281
  mdlm_fs_k1_N300_lam1000_edlm_s3                   251s  ESS=281
  mdlm_fs_k1_N300_lam1000_marginal_s4               246s  ESS=290
  mdlm_fs_k1_N300_lam1000_edlm_s4                   253s  ESS=297
  mdlm_fs_k1_N300_lam1000_marginal_s5               250s  ESS=288
  mdlm_fs_k1_N300_lam1000_edlm_s5                   247s  ESS=291
  mdlm_fs_k2_N300_lam1000_marginal_s1               134s  ESS=278
  mdlm_fs_k2_N300_lam1000_edlm_s1                   131s  ESS=262
  mdlm_fs_k2_N300_lam1000_marginal_s2               131s  ESS=269
  mdlm_fs_k2_N300_lam1000_edlm_s2                   132s  ESS=272
  mdlm_fs_k2_N300_lam1000_marginal_s3               132s  ESS=269
  mdlm_fs_k2_N300_lam1000_edlm_s3                   133s  ESS=268
  mdlm_fs_k2_N300_lam1000_marginal_s4               132s  ESS=278
  mdlm_fs_k2_N300_lam1000_edlm_s4                   134s  ESS=268
  mdlm_fs_k2_N300_lam1000_marginal_s5               131s  ESS=274
  mdlm_fs_k2_N300_lam1000_edlm_s5                   129s  ESS=290
  mdlm_fs_k4_N300_lam1000_marginal_s1                75s  ESS=238
  mdlm_fs_k4_N300_lam1000_edlm_s1                    74s  ESS=261
  mdlm_fs_k4_N300_lam1000_marginal_s2                76s  ESS=272
  mdlm_fs_k4_N300_lam1000_edlm_s2                    75s  ESS=260
  mdlm_fs_k4_N300_lam1000_marginal_s3                75s  ESS=268
  mdlm_fs_k4_N300_lam1000_edlm_s3                    75s  ESS=267
  mdlm_fs_k4_N300_lam1000_marginal_s4                75s  ESS=264
  mdlm_fs_k4_N300_lam1000_edlm_s4                    74s  ESS=246
  mdlm_fs_k4_N300_lam1000_marginal_s5                76s  ESS=273
  mdlm_fs_k4_N300_lam1000_edlm_s5                    74s  ESS=270
  mdlm_fs_k8_N300_lam1000_marginal_s1                47s  ESS=258
  mdlm_fs_k8_N300_lam1000_edlm_s1                    46s  ESS=263
  mdlm_fs_k8_N300_lam1000_marginal_s2                47s  ESS=269
  mdlm_fs_k8_N300_lam1000_edlm_s2                    47s  ESS=253
  mdlm_fs_k8_N300_lam1000_marginal_s3                46s  ESS=257
  mdlm_fs_k8_N300_lam1000_edlm_s3                    46s  ESS=261
  mdlm_fs_k8_N300_lam1000_marginal_s4                46s  ESS=261
  mdlm_fs_k8_N300_lam1000_edlm_s4                    47s  ESS=258
